route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,wheelchair_accessible,bikes_allowed
L1,Feiners-26,Fein26_1208_17,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1208_01,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1208_20,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1208_21,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1208_24,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1208_25,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1208_04,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1208_05,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1208_08,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1208_09,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1209_12,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1209_13,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1209_16,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1209_17,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1209_01,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1209_20,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1209_21,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1209_24,Montjuïc,Destí Montjuic,L1-1,1,1
L1,Feiners-26,Fein26_1209_25,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1209_04,Montjuic,Destí Montjuic,L1-301,1,1
L1,Feiners-26,Fein26_1209_05,Avellaneda,Destí Avellaneda,L1-2,1,1
L1,Feiners-26,Fein26_1209_08,Montjuic,Destí Montjuic,L1-301,1,1
